execution model,problem type,build@1,pass@1,speedup@1,speedup_max@1,efficiency@1,efficiency_max@1,build@5,pass@5,speedup@5,speedup_max@5,efficiency@5,efficiency_max@5,build@10,pass@10,speedup@10,speedup_max@10,efficiency@10,efficiency_max@10,build@20,pass@20,speedup@20,speedup_max@20,efficiency@20,efficiency_max@20
cuda,dense_la,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
cuda,geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
cuda,reduce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
cuda,sort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
cuda,sparse_la,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
cuda,transform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
kokkos,dense_la,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
kokkos,geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
kokkos,reduce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
kokkos,sort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
kokkos,sparse_la,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
kokkos,transform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
mpi,dense_la,0.9104072398190045,0.0,0.0,0.0,0.0,0.0,0.9999676793794441,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
mpi,geometry,0.6066403162055336,0.025,0.0,2.8744188823720567,0.0,1.0198758407809299,0.7909090909090909,0.125,0.0,2.8744188823720567,0.0,1.0198758407809299,1.0,1.0,0.0,2.8744188823720567,0.0,1.0198758407809299,1.0,1.0,0.0,2.8744188823720567,0.0,1.0198758407809299
mpi,reduce,0.9708222811671087,0.09999999999999998,0.0,4.454458943720754,0.0,3.2954375786043433,1.0,0.2,0.0,17.817835774883015,0.0,13.181750314417373,1.0,1.0,0.0,17.817835774883015,0.0,13.181750314417373,1.0,1.0,0.0,17.817835774883015,0.0,13.181750314417373
mpi,sort,0.9862068965517242,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
mpi,sparse_la,0.993103448275862,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
mpi,transform,0.7739130434782608,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
mpi+omp,dense_la,0.9046153846153846,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
mpi+omp,geometry,0.5324675324675325,0.0,0.0,0.0,0.0,0.0,0.9721278721278722,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
mpi+omp,reduce,0.8344056543156991,0.0,0.0,0.0,0.0,0.0,0.9994005994005993,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
mpi+omp,sort,0.9035106880948666,0.0,0.0,0.0,0.0,0.0,0.9999676793794441,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
